,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
63,80996949,TV Show,Adam Ruins Everything,,United States,2018,2018,TV-14,1 Season,1,TV Comedies,TV Comedies,"Education can be fun _ and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways."
64,80239337,TV Show,Ben 10,,United States,2018,2016,TV-Y7,1 Season,1,Kids' TV,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.
66,81011682,TV Show,Christiane Amanpour: Sex & Love Around the World,,United States,2018,2018,TV-MA,1 Season,1,Docuseries,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports."
67,80128317,TV Show,The Eighties,,United States,2018,2016,TV-PG,1 Season,1,Docuseries,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today."
68,81027384,TV Show,The Nineties,,United States,2018,2017,TV-14,1 Season,1,Docuseries,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.
69,80030186,TV Show,The Seventies,,United States,2018,2015,TV-PG,1 Season,1,Docuseries,Docuseries,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events."
70,80116921,TV Show,We Bare Bears,,United States,2018,2017,TV-Y7,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world."
72,80181555,TV Show,The Royal House of Windsor,,United Kingdom,2017,2017,TV-14,1 Season,1,"British TV Shows, Docuseries, International TV Shows",British TV Shows,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more."
74,80184358,TV Show,Lovesick,,,2018,2014,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
80,80163293,TV Show,Mak Cun,,,2017,2015,TV-PG,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.
83,80199032,TV Show,Paul Hollywood's Big Continental Road Trip,,United Kingdom,2017,2017,TV-14,1 Season,1,"British TV Shows, Docuseries, International TV Shows",British TV Shows,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany."
84,80180449,TV Show,Satu Hari,,,2017,2014,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty."
93,80201933,TV Show,Made in Mexico,,United States,2018,2018,TV-MA,1 Season,1,"International TV Shows, Reality TV, Spanish-Language TV Shows",International TV Shows,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles."
99,80225885,TV Show,Bard of Blood,,India,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Action & Adventure, TV Dramas",International TV Shows,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission."
101,80218107,TV Show,Dragons: Rescue Riders,,,2019,2019,TV-Y,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way."
103,80220715,TV Show,Skylines,,,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.
105,80241248,TV Show,The Politician,,United States,2019,2019,TV-14,1 Season,1,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.
111,81025403,TV Show,The Inmate,,Mexico,2019,2018,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.
131,80238106,TV Show,Team Kaylie,,,2019,2019,TV-PG,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader."
135,81004814,TV Show,BONDING,,United States,2019,2019,TV-MA,1 Season,1,"TV Comedies, TV Dramas",TV Comedies,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.
146,81095101,TV Show,Vagabond,,South Korea,2019,2019,TV-MA,1 Season,1,"International TV Shows, Korean TV Shows, TV Action & Adventure",International TV Shows,"When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri."
147,80195173,TV Show,Battlefish,,,2018,2018,TV-MA,1 Season,1,"Reality TV, Science & Nature TV, TV Action & Adventure",Reality TV,"Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast."
148,80241960,TV Show,DRAGON PILOT: Hisone & Masotan,,Japan,2018,2018,TV-14,1 Season,1,"Anime Series, International TV Shows",Anime Series,Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.
149,80115346,TV Show,Hilda,,"United Kingdom, Canada, United States",2018,2018,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
150,80124522,TV Show,Maniac,,United States,2018,2018,TV-MA,1 Season,1,"TV Comedies, TV Dramas, TV Mysteries",TV Comedies,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.
153,80157073,TV Show,The Good Cop,,United States,2018,2018,TV-PG,1 Season,1,"Crime TV Shows, TV Comedies, TV Dramas",Crime TV Shows,"When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad."
155,81020513,TV Show,Criminal: France,,,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance."
156,81020518,TV Show,Criminal: Germany,,,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"In the interview room, detectives go head-to-head with suspects and try to get to the truth _ even if it means breaking the rules and risking it all."
157,81020523,TV Show,Criminal: Spain,Mariano Barroso,,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost."
158,80216172,TV Show,Criminal: UK,,"United Kingdom, France, Germany, Spain",2019,2019,TV-MA,1 Season,1,"British TV Shows, Crime TV Shows, International TV Shows",British TV Shows,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
160,80184771,TV Show,Inside Bill's Brain: Decoding Bill Gates,,United States,2019,2019,TV-14,1 Season,1,"Docuseries, Science & Nature TV",Docuseries,Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.
161,81000389,TV Show,The Hockey Girls,"Kiko Cruz Claverol, Patricia Font",Spain,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,"The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance."
164,80244627,TV Show,Two Sentence Horror Stories,,United States,2019,2019,TV-14,1 Season,1,"TV Horror, Teen TV Shows",TV Horror,This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.
166,80189183,TV Show,Mobile Suit Gundam UC,,Japan,2018,2014,TV-14,1 Season,1,"Anime Series, International TV Shows",Anime Series,"When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence."
170,80224294,TV Show,Monkey Twins,,Thailand,2018,2018,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows,"Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring."
174,80128096,TV Show,Chef's Table: France,,,2016,2016,TV-14,1 Season,1,Docuseries,Docuseries,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.
175,80057610,TV Show,Kulipari: An Army of Frogs,,United States,2016,2016,TV-Y7-FV,1 Season,1,Kids' TV,Kids' TV,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians."
180,70259208,TV Show,Transformers: Rescue Bots,,"Canada, United States",2018,2016,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders."
182,80176878,TV Show,Manhunt,,United States,2017,2017,TV-14,1 Season,1,"Crime TV Shows, TV Dramas, TV Mysteries",Crime TV Shows,"Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber."
190,81144925,TV Show,When the Camellia Blooms,,South Korea,2019,2019,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her."
193,80136785,TV Show,Forget Me Not,,United Kingdom,2017,2011,TV-MA,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?"
194,80135278,TV Show,The Beat,,,2017,2012,TV-PG,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group."
195,80136452,TV Show,Timeless Season,,,2017,2009,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues."
198,70178604,TV Show,Ancient Aliens,,United States,2019,2010,TV-PG,1 Season,1,"Docuseries, Science & Nature TV",Docuseries,"Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?"
203,80219119,TV Show,The Last Kids on Earth,,United States,2019,2019,TV-Y7-FV,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos."
205,80165072,TV Show,Click for Murder,,United Kingdom,2017,2017,TV-14,1 Season,1,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows,Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.
214,70251519,TV Show,America's Book of Secrets,,United States,2019,2014,TV-14,1 Season,1,Docuseries,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion."
215,81174992,TV Show,Bakugan: Battle Planet,,"Japan, Canada, South Korea",2019,2018,TV-PG,1 Season,1,"Anime Series, Kids' TV",Anime Series,Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
216,81044365,TV Show,Cold Case Files,,United States,2019,2017,TV-14,1 Season,1,"Crime TV Shows, Docuseries",Crime TV Shows,Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.
218,70143865,TV Show,Pawn Stars,,United States,2019,2010,TV-PG,1 Season,1,Reality TV,Reality TV,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas."
220,81069393,TV Show,Surviving R. Kelly,,United States,2019,2019,TV-MA,1 Season,1,Docuseries,Docuseries,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse."
221,80012550,TV Show,The Curse of Oak Island,,United States,2019,2014,TV-PG,1 Season,1,Docuseries,Docuseries,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure."
223,81176196,TV Show,The Rap Game,,United States,2019,2016,TV-14,1 Season,1,Reality TV,Reality TV,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.
224,70143831,TV Show,The Universe,,United States,2019,2009,TV-PG,1 Season,1,"Docuseries, Science & Nature TV",Docuseries,"Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels."
225,81003648,TV Show,Al Hayba,,Lebanon,2018,2017,TV-14,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love."
227,80241102,TV Show,Cabins in the Wild with Dick Strawbridge,,United Kingdom,2018,2017,TV-PG,1 Season,1,"British TV Shows, International TV Shows, Reality TV",British TV Shows,"Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own."
233,80241103,TV Show,How to Live Mortgage Free with Sarah Beeny,,,2018,2018,TV-14,1 Season,1,"British TV Shows, International TV Shows, Reality TV",British TV Shows,Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.
234,80240816,TV Show,Inside The Freemasons,,United Kingdom,2018,2017,TV-14,1 Season,1,"British TV Shows, Docuseries, International TV Shows",British TV Shows,"Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition."
247,80202129,TV Show,The Five,Mark Tonderai,United Kingdom,2017,2016,TV-MA,1 Season,1,"British TV Shows, Crime TV Shows, TV Dramas",British TV Shows,"Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police."
250,80126566,TV Show,Wartime Portraits,,Poland,2016,2014,TV-MA,1 Season,1,"Docuseries, International TV Shows",Docuseries,"Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II."
256,80243899,TV Show,Behind the Newsroom,,,2018,2015,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions."
258,80220035,TV Show,Boca Juniors Confidential,,,2018,2018,TV-PG,1 Season,1,"Docuseries, International TV Shows, Spanish-Language TV Shows",Docuseries,"Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club."
259,80194704,TV Show,Car Masters: Rust to Riches,,,2018,2018,TV-PG,1 Season,1,Reality TV,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks."
260,80225949,TV Show,Norm Macdonald Has a Show,,United States,2018,2018,TV-MA,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows,Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.
262,81002336,TV Show,Super Monsters Monster Party,,,2018,2018,TV-Y,1 Season,1,Kids' TV,Kids' TV,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!"
265,80993613,TV Show,The Rise of Phoenixes,,China,2018,2018,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Action & Adventure",International TV Shows,"When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves."
270,81095103,TV Show,Kabaneri of the Iron Fortress: The Battle of Unato,,,2019,2019,TV-MA,1 Season,1,"Anime Series, International TV Shows, TV Horror",Anime Series,"Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde."
272,80217779,TV Show,Marianne,,France,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Dramas, TV Horror",International TV Shows,"Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world."
273,80211572,TV Show,Monarca,,Mexico,2019,2019,TV-MA,1 Season,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas",International TV Shows,"After 20 years, Ana Mar_­a returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets."
277,80217669,TV Show,Top Boy,,United Kingdom,2019,2019,TV-MA,1 Season,1,"British TV Shows, Crime TV Shows, International TV Shows",British TV Shows,"Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler."
278,80153467,TV Show,Unbelievable,,United States,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, TV Dramas",Crime TV Shows,"After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events."
282,80993062,TV Show,The I-Land,,United States,2019,2019,TV-MA,1 Season,1,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV Action & Adventure,"Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities _ and the island that traps them."
283,81098586,TV Show,"The Mind, Explained",,United States,2019,2019,TV-14,1 Season,1,"Docuseries, Science & Nature TV",Docuseries,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series."
285,81011508,TV Show,Life,,South Korea,2018,2018,TV-MA,1 Season,1,"International TV Shows, Korean TV Shows, TV Dramas",International TV Shows,"At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO."
289,80223685,TV Show,Daniel Sloss: Live Shows,,United States,2018,2018,TV-MA,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows,"Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent."
290,80189586,TV Show,If I were an Animal,,,2018,2018,TV-Y,1 Season,1,"Docuseries, Kids' TV, Science & Nature TV",Docuseries,"Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood."
297,81077065,TV Show,Terrace House: Tokyo 2019-2020,,,2019,2019,TV-MA,1 Season,1,"International TV Shows, Reality TV",International TV Shows,"Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them."
307,81073764,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,,,2019,2016,TV-Y,1 Season,1,Kids' TV,Kids' TV,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series."
318,80241003,TV Show,Serial Killer with Piers Morgan,,United Kingdom,2019,2018,TV-14,1 Season,1,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives."
328,81154900,TV Show,Transformers Rescue Bots Academy,,United States,2019,2019,TV-Y,1 Season,1,Kids' TV,Kids' TV,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions."
329,81154956,TV Show,Transformers: Cyberverse,,,2019,2018,TV-Y7,1 Season,1,Kids' TV,Kids' TV,Optimus Prime and the AllSpark are missing _ and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.
333,81004113,TV Show,Age of Rebellion,Peter Ho,Taiwan,2018,2018,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds."
345,80994108,TV Show,Sisters,,Australia,2018,2018,TV-MA,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.
354,81004162,TV Show,The Road to Calvary,,Russia,2018,2017,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them."
356,80188969,TV Show,A Boy Name Flora A,,Taiwan,2017,2017,TV-MA,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won__ pass on.
357,80189155,TV Show,A House of Blocks,,,2017,2017,TV-MA,1 Season,1,"International TV Shows, TV Dramas, TV Horror",International TV Shows,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost."
360,80189208,TV Show,All About Love,,Taiwan,2017,2017,TV-14,1 Season,1,"International TV Shows, TV Dramas, TV Horror",International TV Shows,Mysterious ghosts _ determined to reconnect with the living world _ begin to cross over and disrupt the lives of those they left behind.
367,80178543,TV Show,FINAL FANTASY XIV Dad of Light,,Japan,2017,2017,TV-PG,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.
368,70213196,TV Show,Gurren Lagann,,Japan,2017,2007,TV-14,1 Season,1,"Anime Series, International TV Shows",Anime Series,"When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble."
369,70208520,TV Show,High Risk,,United States,2017,1988,TV-G,1 Season,1,"Docuseries, Reality TV",Docuseries,"From scientists to snake handlers, this series explores what motivates some people to put themselves in jeopardy to perform extraordinary feats."
375,80105933,TV Show,LEGO Elves: Secrets of Elvendale,,United States,2017,2017,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister _ and all of Elvendale. Based on the popular web series."
378,80133200,TV Show,Maniac,,Norway,2017,2015,TV-MA,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,"A nondescript man in a mental hospital has an exciting life of adventure and romance _ in his head. He may be insane, or maybe he's just having fun."
397,80200913,TV Show,Tip the Mouse,,"Germany, United States, Italy",2017,2014,TV-Y,1 Season,1,Kids' TV,Kids' TV,"In his tiny meadow village, curious little mouse Tip enjoys fun and adventure while learning about the world with his furry friends and family."
402,80118873,TV Show,Conspiracy,,United Kingdom,2016,2015,TV-14,1 Season,1,"British TV Shows, Docuseries",British TV Shows,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues."
403,70229514,TV Show,Dead Set,,United Kingdom,2016,2008,TV-MA,1 Season,1,"British TV Shows, TV Horror, TV Thrillers",British TV Shows,"While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound."
405,70303288,TV Show,Easy Fortune Happy Life,,Taiwan,2016,2009,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients."
408,80111273,TV Show,Game Winning Hit,,Taiwan,2016,2009,TV-PG,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
410,80111710,TV Show,Lucky Days,,China,2016,2010,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage."
413,80128337,TV Show,Station Horizon,,Switzerland,2016,2015,TV-MA,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,"Ex-con Joris returns to his Swiss hometown, a community obsessed with American culture and ideals, to start over and save his family's gas station."
414,70303289,TV Show,The Fierce Wife,,Taiwan,2016,2010,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.
415,80111614,TV Show,The Womanizer,,China,2016,2010,TV-PG,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.
416,80111275,TV Show,The Year of Happiness and Love,,Taiwan,2016,2009,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune."
418,80118889,TV Show,Witches: A Century of Murder,,United Kingdom,2016,2015,TV-14,1 Season,1,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows,"Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin."
422,80216665,TV Show,Rhythm + Flow,,United States,2019,2019,TV-MA,1 Season,1,Reality TV,Reality TV,"In this music competition show, judges Tip __.I._ Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar."
434,80113144,TV Show,StoryBots Super Songs,,United States,2016,2016,TV-Y,1 Season,1,Kids' TV,Kids' TV,"Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more."
439,80174918,TV Show,ID-0,,Japan,2017,2017,TV-14,1 Season,1,"Anime Series, International TV Shows",Anime Series,"In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure."
442,80215730,TV Show,Legend Quest: Masters of Myth,,Mexico,2019,2019,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"When mythical creatures come to life, it's up to Leo, Teodora, Don Andr_©s and Alebrije _ super-secret monster hunters _ to save the day."
